level,rank_in_level,state,weight_sq,diag_energy,inner_weight,balance,is_vollschale_1111
1,1,"|0,0,0;0;0,0,0,0>",0.8619298594131614,0.0,0,0,False
1,2,"|1,0,0;0;0,0,0,0>",0.06297085118203542,1.0,0,0,False
1,3,"|0,1,0;0;0,0,0,0>",0.061712209953527546,1.2,0,0,False
1,4,"|0,0,1;0;0,0,0,0>",0.013327435996506959,5.8,0,0,False
1,5,"|0,0,0;0;0,2,0,0>",5.938325136996106e-05,14.0,2,4,False
1,6,"|0,0,1;0;0,2,0,0>",8.316913557613559e-08,19.8,2,4,False
1,7,"|0,0,0;0;0,1,1,0>",6.498831457583912e-08,8.3,2,0,False
1,8,"|0,1,0;0;0,2,0,0>",3.977037436265641e-08,15.2,2,4,False
1,9,"|0,0,0;0;1,1,0,0>",3.943260486474377e-08,10.7,2,2,False
1,10,"|1,0,0;0;0,2,0,0>",3.1254485038604184e-08,15.0,2,4,False
2,1,"|1,0,0;0;0,0,0,0>",0.8314164368499767,1.0,0,0,False
2,2,"|0,1,0;0;0,0,0,0>",0.14830532892930182,1.2,0,0,False
2,3,"|0,0,0;0;0,0,0,0>",0.019766913612411077,0.0,0,0,False
2,4,"|0,0,1;0;0,0,0,0>",0.0005085372750727419,5.8,0,0,False
2,5,"|0,0,0;0;0,2,0,0>",2.768061157226567e-06,14.0,2,4,False
2,6,"|0,0,1;0;0,2,0,0>",4.45943199346385e-09,19.8,2,4,False
2,7,"|0,0,0;0;0,1,1,0>",4.3028165374952724e-09,8.3,2,0,False
2,8,"|0,0,0;0;1,1,0,0>",2.4028332165925167e-09,10.7,2,2,False
2,9,"|0,1,0;0;0,2,0,0>",2.227667042776808e-09,15.2,2,4,False
2,10,"|1,0,0;0;0,2,0,0>",1.7551416206712062e-09,15.0,2,4,False
3,1,"|0,1,0;0;0,0,0,0>",0.7898559262824368,1.2,0,0,False
3,2,"|1,0,0;0;0,0,0,0>",0.10552375847889067,1.0,0,0,False
3,3,"|0,0,0;0;0,0,0,0>",0.10162994456031395,0.0,0,0,False
