n,e,a,b,c,abc_state,t_abc
1926925,13,5,7,11,5·5 | 7·7 | 11·11,385
1926925,13,5,7,11,5·5 | 7·7 | 11·11,385
1926925,13,5,7,11,5·5 | 7·7 | 11·11,385
1926925,13,5,7,11,5·5 | 7·7 | 11·11,385
1926925,13,5,7,11,5·5 | 7·7 | 11·11,385
1926925,13,5,7,11,5·5 | 7·7 | 11·11,385
1926925,13,5,7,11,5·5 | 7·7 | 11·11,385
1926925,13,5,7,11,5·5 | 7·7 | 11·11,385
4029025,13,5,7,11,5·5 | 7·7 | 11·23,385
4029025,13,5,7,23,5·5 | 7·7 | 11·23,805
4029025,13,5,7,11,5·5 | 7·7 | 11·23,385
4029025,13,5,7,23,5·5 | 7·7 | 11·23,805
4029025,13,5,7,11,5·5 | 7·7 | 11·23,385
4029025,13,5,7,23,5·5 | 7·7 | 11·23,805
4029025,13,5,7,11,5·5 | 7·7 | 11·23,385
4029025,13,5,7,23,5·5 | 7·7 | 11·23,805
5230225,13,5,7,11,5·5 | 7·19 | 11·11,385
5230225,13,5,7,11,5·5 | 7·19 | 11·11,385
5230225,13,5,19,11,5·5 | 7·19 | 11·11,1045
5230225,13,5,19,11,5·5 | 7·19 | 11·11,1045
5230225,13,5,7,11,5·5 | 7·19 | 11·11,385
5230225,13,5,7,11,5·5 | 7·19 | 11·11,385
5230225,13,5,19,11,5·5 | 7·19 | 11·11,1045
5230225,13,5,19,11,5·5 | 7·19 | 11·11,1045
5484325,37,5,7,11,5·5 | 7·7 | 11·11,385
5484325,37,5,7,11,5·5 | 7·7 | 11·11,385
5484325,37,5,7,11,5·5 | 7·7 | 11·11,385
5484325,37,5,7,11,5·5 | 7·7 | 11·11,385
5484325,37,5,7,11,5·5 | 7·7 | 11·11,385
5484325,37,5,7,11,5·5 | 7·7 | 11·11,385
5484325,37,5,7,11,5·5 | 7·7 | 11·11,385
5484325,37,5,7,11,5·5 | 7·7 | 11·11,385
6551545,13,5,7,11,5·17 | 7·7 | 11·11,385
6551545,13,5,7,11,5·17 | 7·7 | 11·11,385
6551545,13,5,7,11,5·17 | 7·7 | 11·11,385
6551545,13,5,7,11,5·17 | 7·7 | 11·11,385
6551545,13,17,7,11,5·17 | 7·7 | 11·11,1309
6551545,13,17,7,11,5·17 | 7·7 | 11·11,1309
6551545,13,17,7,11,5·17 | 7·7 | 11·11,1309
6551545,13,17,7,11,5·17 | 7·7 | 11·11,1309
8233225,13,5,7,11,5·5 | 7·7 | 11·47,385
8233225,13,5,7,47,5·5 | 7·7 | 11·47,1645
8233225,13,5,7,11,5·5 | 7·7 | 11·47,385
8233225,13,5,7,47,5·5 | 7·7 | 11·47,1645
8233225,13,5,7,11,5·5 | 7·7 | 11·47,385
8233225,13,5,7,47,5·5 | 7·7 | 11·47,1645
8233225,13,5,7,11,5·5 | 7·7 | 11·47,385
8233225,13,5,7,47,5·5 | 7·7 | 11·47,1645
8424325,13,5,7,23,5·5 | 7·7 | 23·23,805
8424325,13,5,7,23,5·5 | 7·7 | 23·23,805
8424325,13,5,7,23,5·5 | 7·7 | 23·23,805
8424325,13,5,7,23,5·5 | 7·7 | 23·23,805
8424325,13,5,7,23,5·5 | 7·7 | 23·23,805
8424325,13,5,7,23,5·5 | 7·7 | 23·23,805
8424325,13,5,7,23,5·5 | 7·7 | 23·23,805
8424325,13,5,7,23,5·5 | 7·7 | 23·23,805
8533525,13,5,7,11,5·5 | 7·31 | 11·11,385
8533525,13,5,7,11,5·5 | 7·31 | 11·11,385
8533525,13,5,31,11,5·5 | 7·31 | 11·11,1705
8533525,13,5,31,11,5·5 | 7·31 | 11·11,1705
8533525,13,5,7,11,5·5 | 7·31 | 11·11,385
8533525,13,5,7,11,5·5 | 7·31 | 11·11,385
8533525,13,5,31,11,5·5 | 7·31 | 11·11,1705
8533525,13,5,31,11,5·5 | 7·31 | 11·11,1705
9041725,61,5,7,11,5·5 | 7·7 | 11·11,385
9041725,61,5,7,11,5·5 | 7·7 | 11·11,385
9041725,61,5,7,11,5·5 | 7·7 | 11·11,385
9041725,61,5,7,11,5·5 | 7·7 | 11·11,385
9041725,61,5,7,11,5·5 | 7·7 | 11·11,385
9041725,61,5,7,11,5·5 | 7·7 | 11·11,385
9041725,61,5,7,11,5·5 | 7·7 | 11·11,385
9041725,61,5,7,11,5·5 | 7·7 | 11·11,385
10335325,13,5,7,11,5·5 | 7·7 | 11·59,385
10335325,13,5,7,59,5·5 | 7·7 | 11·59,2065
10335325,13,5,7,11,5·5 | 7·7 | 11·59,385
10335325,13,5,7,59,5·5 | 7·7 | 11·59,2065
10335325,13,5,7,11,5·5 | 7·7 | 11·59,385
10335325,13,5,7,59,5·5 | 7·7 | 11·59,2065
10335325,13,5,7,11,5·5 | 7·7 | 11·59,385
10335325,13,5,7,59,5·5 | 7·7 | 11·59,2065
10820425,73,5,7,11,5·5 | 7·7 | 11·11,385
10820425,73,5,7,11,5·5 | 7·7 | 11·11,385
10820425,73,5,7,11,5·5 | 7·7 | 11·11,385
10820425,73,5,7,11,5·5 | 7·7 | 11·11,385
10820425,73,5,7,11,5·5 | 7·7 | 11·11,385
10820425,73,5,7,11,5·5 | 7·7 | 11·11,385
10820425,73,5,7,11,5·5 | 7·7 | 11·11,385
10820425,73,5,7,11,5·5 | 7·7 | 11·11,385
10935925,13,5,7,11,5·5 | 7·19 | 11·23,385
10935925,13,5,7,23,5·5 | 7·19 | 11·23,805
10935925,13,5,19,11,5·5 | 7·19 | 11·23,1045
10935925,13,5,19,23,5·5 | 7·19 | 11·23,2185
10935925,13,5,7,11,5·5 | 7·19 | 11·23,385
10935925,13,5,7,23,5·5 | 7·19 | 11·23,805
10935925,13,5,19,11,5·5 | 7·19 | 11·23,1045
10935925,13,5,19,23,5·5 | 7·19 | 11·23,2185
11176165,13,5,7,11,5·29 | 7·7 | 11·11,385
11176165,13,5,7,11,5·29 | 7·7 | 11·11,385
11176165,13,5,7,11,5·29 | 7·7 | 11·11,385
11176165,13,5,7,11,5·29 | 7·7 | 11·11,385
11176165,13,29,7,11,5·29 | 7·7 | 11·11,2233
11176165,13,29,7,11,5·29 | 7·7 | 11·11,2233
11176165,13,29,7,11,5·29 | 7·7 | 11·11,2233
11176165,13,29,7,11,5·29 | 7·7 | 11·11,2233
11467225,37,5,7,11,5·5 | 7·7 | 11·23,385
11467225,37,5,7,23,5·5 | 7·7 | 11·23,805
11467225,37,5,7,11,5·5 | 7·7 | 11·23,385
11467225,37,5,7,23,5·5 | 7·7 | 11·23,805
11467225,37,5,7,11,5·5 | 7·7 | 11·23,385
11467225,37,5,7,23,5·5 | 7·7 | 11·23,805
